case_id,ai_root_cause,ai_confidence,decision,corrected_root_cause,reviewer_notes
CASE001,Trunk between SW1 and Router0 is not carrying tagged VLAN traffic for inter-VLAN routing.,0.72,Accepted,,Matches evidence (access mode port toward router-on-a-stick).
CASE002,Trunk misconfiguration between SW2 and Router0 is blocking VLAN 30 traffic.,0.55,Edited,Access port Fa0/5 is still assigned to VLAN 1 (default) instead of VLAN 30.,"AI defaulted to a trunk explanation without checking the VLAN table; evidence clearly shows a port-assignment issue, not a trunk issue."
CASE003,VLAN 40 is pruned from the trunk between SW3 and SW1.,0.81,Accepted,,Matches 'show interfaces trunk' evidence exactly.
CASE004,Spanning-tree re-convergence on VLAN 10 caused by a misconfigured PortFast trunk port.,0.63,Accepted,,Consistent with repeated TCNs and STP evidence.
CASE005,PC0 has the wrong default gateway configured (192.168.10.100 instead of 192.168.10.1).,0.9,Accepted,,Directly supported by ipconfig evidence.
CASE006,DHCP pool is not advertising a default-router option.,0.84,Accepted,,Matches 'show run | section dhcp' evidence.
CASE007,"Gi0/1 is administratively down, so ARP for the gateway never resolves.",0.88,Accepted,,Deterministic checker also flags INTERFACE_DOWN; AI explanation matches.
CASE008,Intermittent routing instability between PC and gateway subnet.,0.4,Rejected,"A second device on the LAN is statically assigned the gateway's IP (192.168.12.1), causing an IP conflict (duplicate IP, confirmed via 'show ip arp' showing two MACs for the same IP).",AI's low-confidence generic 'routing instability' answer ignored the ARP evidence entirely. Rejected and replaced with the duplicate-IP finding from the rule checker.
CASE009,"No DHCP pool is configured on Router0, so the client falls back to APIPA.",0.87,Accepted,,Matches empty 'show ip dhcp binding' and missing pool config.
CASE010,The DHCP server process on Router0 has stopped responding to requests.,0.5,Edited,"DHCP pool STAFF_POOL is undersized (/28) and fully leased (14/14) for 20+ hosts on VLAN 20 - pool exhaustion, not a service outage.","AI guessed a service outage; the evidence ('Leased: 14' out of 'Total addresses: 14') clearly shows exhaustion, and existing clients still work, which rules out a full outage."
CASE011,No DHCP pool or ip helper-address exists for the 192.168.30.0/24 scope.,0.8,Accepted,,Matches config evidence.
CASE012,The printer's static IP falls inside the active DHCP pool range with no exclusion configured.,0.79,Accepted,,Correctly ties the symptom (printer drops when PC boots) to the missing excluded-address.
CASE013,PC5 is pointed at the wrong DNS server address.,0.83,Accepted,,Matches ipconfig /all evidence.
CASE014,The DNS service on Server0 is disabled.,0.86,Accepted,,Matches Server0 Services tab evidence.
CASE015,DNS server is unreachable from the client's subnet.,0.45,Edited,DNS resolves successfully but returns a stale A record pointing www.netsage.local at a decommissioned server (192.168.20.50 instead of 192.168.20.10).,"AI conflated 'wrong destination' with 'unreachable service' - the evidence shows resolution succeeds, just to the wrong IP. Corrected to a stale-record explanation."
CASE016,Route to the DNS server's subnet (192.168.20.0/24) is missing from Router0's routing table.,0.85,Accepted,,Matches ROUTE_MISSING finding from the deterministic rule checker.
CASE017,"Gi0/1 toward the server subnet is administratively down, removing the connected route to 192.168.20.0/24.",0.9,Accepted,,Matches INTERFACE_DOWN + ROUTE_MISSING findings.
CASE018,No static route or routing protocol is configured on Router1 for the remote LAN behind Router2.,0.82,Accepted,,Matches config evidence.
CASE019,The serial link between Router1 and Router2 is flapping due to a physical layer issue.,0.48,Edited,OSPF hello/dead timer mismatch (10s vs 5s) between Router1 and Router2 is preventing a stable adjacency.,Interface itself is up/up per evidence; AI should have looked at the OSPF neighbor state cycling and timer values instead of assuming a physical fault.
