case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
TC001,PC1 cannot obtain IP address via DHCP,PC1 -> SW1 (Fa0/1) -> R1 (Gi0/0.10),"SW1# show vlan brief: Fa0/1 in VLAN 10 active. R1# show ip interface brief: Gi0/0.10 is up/up. R1# show run int gi0/0.10: interface GigabitEthernet0/0.10 | encapsulation dot1Q 10 | ip address 192.168.10.1 255.255.255.0",Missing DHCP Relay (ip helper-address) on router sub-interface,3,DHCP,High
TC002,PC1 cannot ping Gateway 192.168.10.1,PC1 -> SW1 (Fa0/1) -> R1 (Gi0/0),"SW1# show interfaces Fa0/1 status: Fa0/1 disabled administratively down. SW1# show vlan brief: Fa0/1 in VLAN 10",Switchport Fa0/1 is administratively down (shutdown),1,Interface,High
TC003,PC1 cannot reach Server1 in VLAN 20,PC1 (VLAN 10) -> SW1 -> SW2 -> Server1 (VLAN 20),"SW1# show interfaces trunk: Gi0/1 trunking allowed 1-10. SW2# show interfaces trunk: Gi0/1 trunking allowed 1-10",VLAN 20 is pruned/missing from trunk allowed VLAN list,2,VLAN/Trunk,Medium
TC004,R1 and R2 cannot form OSPF adjacency,R1 (Gi0/0) <---> (Gi0/0) R2,"R1# show ip ospf interface Gi0/0: Area 0, MTU 1500. R2# show ip ospf interface Gi0/0: Area 0, MTU 1400. R1# show ip ospf neighbor: State EXSTART/EXCHANGE",MTU mismatch on OSPF point-to-point link,3,OSPF,High
TC005,PC1 can ping Gateway but cannot reach Web Server 10.0.0.5,PC1 -> R1 -> WebServer,"R1# show access-lists: Extended IP access list 101 | 10 deny ip any host 10.0.0.5 | 20 permit ip any any",Inbound/Outbound ACL explicitly denying traffic to 10.0.0.5,4,ACL,High
TC006,PC1 cannot resolve hostname 'server.lab.local',PC1 -> R1 (DNS Server at 192.168.1.5),"PC1# ipconfig /all: IPv4 192.168.1.100, Gateway 192.168.1.1, DNS Servers 192.168.1.50. R1# show ip dns view: server 192.168.1.5",Incorrect DNS server IP configured on DHCP scope/client,7,DNS,Medium
TC007,Host 192.168.1.50 cannot access Internet through NAT,Host -> R1 (NAT Gateway) -> ISP,"R1# show run | include nat: ip nat inside source list 1 interface Gi0/1 overload. R1# show ip access-list 1: 10 permit 192.168.1.0 0.0.0.15",NAT ACL wildcard mask too small (/28 instead of /24) excluding .50,3,NAT,High
TC008,Sub-interface Gi0/0.20 cannot route packets,SW1 (Trunk) -> R1 (Gi0/0.20),"R1# show run int Gi0/0.20: interface GigabitEthernet0/0.20 | ip address 192.168.20.1 255.255.255.0. SW1# show interfaces trunk: Gi0/1 encapsulation 802.1q",Missing 802.1Q encapsulation command on router sub-interface,2,Routing/VLAN,High
TC009,Switchport Fa0/5 instantly turns off when PC connects,PC -> SW1 (Fa0/5),"SW1# show interfaces Fa0/5 status: Fa0/5 err-disabled. SW1# show port-security interface Fa0/5: Port Security Enabled, Violation Mode: Shutdown, Security Violation Count: 1",Port security MAC address violation triggered shutdown,2,Security,Medium
TC010,R1 cannot route packets to 172.16.0.0/16,R1 -> R2,"R1# show ip route: 192.168.1.0/24 directly connected. R1# show run | inc ip route: ip route 172.16.0.0 255.255.0.0 10.0.0.2. R1# show ip int brief: Gi0/1 (10.0.0.1/30) is down/down",Static route next-hop interface is down,3,Routing,High
